tipo_vinho,faixa_preco,canal_venda,regiao_cliente,uva,pais,vinho_ocasiao,mes_venda,qtd_garrafas,desconto_aplicado,sucesso_venda
Tinto,Intermediario,Loja fisica,Nordeste,Touriga Nacional,Portugal,Jantar Romantico,6,4,10,1
Espumante,Intermediario,E-commerce,Sudeste,Chardonnay,Brasil,Celebracao,12,5,15,1
Branco,Economico,Indicacao,Sudeste,Chardonnay,Argentina,Almoco Executivo,2,8,0,1
Tinto,Premium,Eventos/Feiras,Centro-Oeste,Touriga Nacional,Portugal,Jantar Romantico,9,3,10,1
Rose,Economico,E-commerce,Norte,Grenache,Franca,Beira da Piscina,9,5,25,0
Espumante,Premium,Indicacao,Sul,Chardonnay,Brasil,Celebracao,12,4,5,1
Tinto,Intermediario,E-commerce,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,7,4,20,0
Branco,Intermediario,Loja fisica,Sudeste,Chardonnay,Argentina,Almoco Executivo,3,3,5,1
Tinto,Premium,Loja fisica,Sul,Touriga Nacional,Portugal,Jantar Romantico,6,3,10,1
Espumante,Economico,Eventos/Feiras,Nordeste,Chardonnay,Brasil,Celebracao,12,4,15,1
Rose,Intermediario,Indicacao,Centro-Oeste,Grenache,Franca,Beira da Piscina,10,3,0,1
Branco,Premium,E-commerce,Sudeste,Chardonnay,Argentina,Almoco Executivo,5,4,18,0
Tinto,Economico,Loja fisica,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,8,5,5,1
Espumante,Intermediario,Indicacao,Sul,Chardonnay,Brasil,Celebracao,12,2,8,1
Branco,Economico,E-commerce,Norte,Chardonnay,Argentina,Almoco Executivo,1,7,30,0
Tinto,Premium,Eventos/Feiras,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,7,2,5,1
Rose,Premium,Loja fisica,Sul,Grenache,Franca,Beira da Piscina,11,2,10,1
Espumante,Premium,E-commerce,Centro-Oeste,Chardonnay,Brasil,Celebracao,12,3,20,0
Branco,Intermediario,Indicacao,Nordeste,Chardonnay,Argentina,Almoco Executivo,4,3,5,1
Tinto,Intermediario,Loja fisica,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,6,2,0,1
Espumante,Economico,E-commerce,Sudeste,Chardonnay,Brasil,Celebracao,12,3,10,1
Rose,Economico,E-commerce,Nordeste,Grenache,Franca,Beira da Piscina,2,8,20,0
Branco,Premium,Eventos/Feiras,Sudeste,Chardonnay,Argentina,Almoco Executivo,3,2,10,1
Tinto,Premium,Indicacao,Sul,Touriga Nacional,Portugal,Jantar Romantico,7,3,0,1
Espumante,Intermediario,Loja fisica,Norte,Chardonnay,Brasil,Celebracao,12,3,15,1
Branco,Intermediario,E-commerce,Sul,Chardonnay,Argentina,Almoco Executivo,5,4,15,1
Tinto,Economico,Indicacao,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,8,6,0,1
Rose,Premium,Eventos/Feiras,Sudeste,Grenache,Franca,Beira da Piscina,11,3,12,1
Espumante,Premium,Indicacao,Sudeste,Chardonnay,Brasil,Celebracao,12,3,5,1
Branco,Economico,Loja fisica,Centro-Oeste,Chardonnay,Argentina,Almoco Executivo,1,7,10,1
Tinto,Intermediario,E-commerce,Nordeste,Touriga Nacional,Portugal,Jantar Romantico,6,3,25,0
Espumante,Intermediario,Eventos/Feiras,Sul,Chardonnay,Brasil,Celebracao,12,2,8,1
Rose,Intermediario,Loja fisica,Sudeste,Grenache,Franca,Beira da Piscina,10,5,5,1
Branco,Premium,Indicacao,Sul,Chardonnay,Argentina,Almoco Executivo,4,2,10,1
Tinto,Premium,E-commerce,Norte,Touriga Nacional,Portugal,Jantar Romantico,7,1,30,0
Espumante,Economico,Indicacao,Sudeste,Chardonnay,Brasil,Celebracao,12,4,0,1
Branco,Intermediario,Eventos/Feiras,Nordeste,Chardonnay,Argentina,Almoco Executivo,3,4,12,1
Tinto,Economico,Loja fisica,Centro-Oeste,Touriga Nacional,Portugal,Jantar Romantico,8,6,15,1
Rose,Premium,E-commerce,Sul,Grenache,Franca,Beira da Piscina,11,3,20,0
Espumante,Premium,Loja fisica,Sudeste,Chardonnay,Brasil,Celebracao,12,2,5,1
Tinto,Intermediario,Eventos/Feiras,Sul,Touriga Nacional,Portugal,Jantar Romantico,6,2,8,1
Branco,Economico,E-commerce,Sudeste,Chardonnay,Argentina,Almoco Executivo,2,5,20,1
Rose,Economico,Indicacao,Nordeste,Grenache,Franca,Beira da Piscina,10,7,5,1
Espumante,Intermediario,E-commerce,Centro-Oeste,Chardonnay,Brasil,Celebracao,12,4,25,0
Tinto,Premium,Indicacao,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,9,2,10,1
Branco,Premium,Loja fisica,Sul,Chardonnay,Argentina,Almoco Executivo,5,3,5,1
Rose,Intermediario,E-commerce,Norte,Grenache,Franca,Beira da Piscina,11,5,30,0
Espumante,Economico,Eventos/Feiras,Sudeste,Chardonnay,Brasil,Celebracao,12,4,10,1
Tinto,Economico,E-commerce,Nordeste,Touriga Nacional,Portugal,Jantar Romantico,7,8,20,0
Branco,Intermediario,Indicacao,Sudeste,Chardonnay,Argentina,Almoco Executivo,3,5,0,1
Tinto,Premium,Loja fisica,Centro-Oeste,Touriga Nacional,Portugal,Jantar Romantico,6,1,15,1
Espumante,Premium,Indicacao,Sul,Chardonnay,Brasil,Celebracao,12,2,5,1
Rose,Economico,Loja fisica,Sudeste,Grenache,Franca,Beira da Piscina,9,7,10,1
Branco,Premium,E-commerce,Norte,Chardonnay,Argentina,Almoco Executivo,4,2,30,0
Tinto,Intermediario,Eventos/Feiras,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,8,2,8,1
Espumante,Intermediario,Loja fisica,Nordeste,Chardonnay,Brasil,Celebracao,12,1,15,1
Branco,Economico,Indicacao,Sul,Chardonnay,Argentina,Almoco Executivo,2,5,0,1
Rose,Premium,Eventos/Feiras,Sudeste,Grenache,Franca,Beira da Piscina,11,3,10,1
Tinto,Premium,E-commerce,Sul,Touriga Nacional,Portugal,Jantar Romantico,7,3,25,0
Espumante,Economico,E-commerce,Centro-Oeste,Chardonnay,Brasil,Celebracao,12,8,20,0
Branco,Intermediario,Loja fisica,Sudeste,Chardonnay,Argentina,Almoco Executivo,5,6,5,1
Tinto,Economico,Indicacao,Norte,Touriga Nacional,Portugal,Jantar Romantico,8,8,5,1
Rose,Intermediario,E-commerce,Nordeste,Grenache,Franca,Beira da Piscina,10,3,25,0
Espumante,Premium,Eventos/Feiras,Sul,Chardonnay,Brasil,Celebracao,12,5,8,1
Branco,Premium,Indicacao,Sudeste,Chardonnay,Argentina,Almoco Executivo,4,1,10,1
Tinto,Intermediario,Loja fisica,Sul,Touriga Nacional,Portugal,Jantar Romantico,6,5,0,1
Espumante,Intermediario,E-commerce,Sudeste,Chardonnay,Brasil,Celebracao,12,4,15,1
Rose,Economico,E-commerce,Centro-Oeste,Grenache,Franca,Beira da Piscina,9,4,30,0
Branco,Economico,Eventos/Feiras,Nordeste,Chardonnay,Argentina,Almoco Executivo,3,6,12,1
Tinto,Premium,Indicacao,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,7,1,5,1
Espumante,Premium,Loja fisica,Norte,Chardonnay,Brasil,Celebracao,12,3,20,0
Branco,Intermediario,E-commerce,Sul,Chardonnay,Argentina,Almoco Executivo,1,3,20,0
Rose,Intermediario,Indicacao,Sudeste,Grenache,Franca,Beira da Piscina,11,3,0,1
Tinto,Economico,Loja fisica,Nordeste,Touriga Nacional,Portugal,Jantar Romantico,8,3,10,1
Espumante,Economico,Indicacao,Sul,Chardonnay,Brasil,Celebracao,12,4,0,1
Branco,Premium,Eventos/Feiras,Centro-Oeste,Chardonnay,Argentina,Almoco Executivo,4,2,15,1
Tinto,Intermediario,E-commerce,Norte,Touriga Nacional,Portugal,Jantar Romantico,6,6,30,0
Rose,Premium,Loja fisica,Sudeste,Grenache,Franca,Beira da Piscina,11,1,10,1
Espumante,Intermediario,Eventos/Feiras,Sudeste,Chardonnay,Brasil,Celebracao,12,2,8,1
Branco,Economico,E-commerce,Sul,Chardonnay,Argentina,Almoco Executivo,2,3,25,0
Tinto,Premium,Indicacao,Nordeste,Touriga Nacional,Portugal,Jantar Romantico,9,2,12,1
Rose,Intermediario,E-commerce,Sul,Grenache,Franca,Beira da Piscina,10,5,15,1
Espumante,Premium,Indicacao,Sudeste,Chardonnay,Brasil,Celebracao,12,1,5,1
Branco,Intermediario,Loja fisica,Norte,Chardonnay,Argentina,Almoco Executivo,5,1,20,0
Tinto,Economico,Eventos/Feiras,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,8,5,10,1
Rose,Economico,Loja fisica,Centro-Oeste,Grenache,Franca,Beira da Piscina,9,7,15,1
Espumante,Intermediario,E-commerce,Nordeste,Chardonnay,Brasil,Celebracao,12,1,20,1
Branco,Premium,Indicacao,Sul,Chardonnay,Argentina,Almoco Executivo,4,1,5,1
Tinto,Intermediario,Indicacao,Sudeste,Touriga Nacional,Portugal,Jantar Romantico,6,5,0,1
Espumante,Premium,Eventos/Feiras,Sul,Chardonnay,Brasil,Celebracao,12,4,8,1
